Job Title,Company,Location,Skills,Stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,"Python, SQL, Excel, Tableau, Power BI, R, Pandas, NumPy",Competitive stipend
Not mentioned,Not mentioned,Not mentioned,"Excel, R","₹ 5,000 /month"
Not mentioned,Not mentioned,Not mentioned,"Excel, R","₹ 18,000 - 24,000 /month"
Not mentioned,Not mentioned,Not mentioned,"Excel, R","₹ 14,000 - 15,000 /month"
Not mentioned,Not mentioned,Not mentioned,"Excel, R","₹ 25,000 - 48,000 /month"
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,"₹ 12,000 - 18,000 /month"
Not mentioned,Not mentioned,Not mentioned,"Excel, R","₹ 7,000 /month"
Not mentioned,Not mentioned,Not mentioned,R,"₹ 8,000 - 10,000 /month"
Not mentioned,Not mentioned,Not mentioned,R,"₹ 6,000 - 21,000 /month"
Not mentioned,Not mentioned,Not mentioned,R,"₹ 2,000 lump sum"
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
Not mentioned,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
Not mentioned,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
Not mentioned,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
Not mentioned,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
Not mentioned,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
Not mentioned,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
Not mentioned,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
Not mentioned,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
Not mentioned,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,"Python, SQL, Excel, Tableau, Power BI, R, Pandas, NumPy",Competitive stipend
N/A,Not mentioned,Not mentioned,"Excel, R","₹ 5,000 /month"
N/A,Not mentioned,Not mentioned,"Excel, R","₹ 18,000 - 24,000 /month"
N/A,Not mentioned,Not mentioned,"Excel, R","₹ 14,000 - 15,000 /month"
N/A,Not mentioned,Not mentioned,"Excel, R","₹ 25,000 - 48,000 /month"
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,"₹ 12,000 - 18,000 /month"
N/A,Not mentioned,Not mentioned,"Excel, R","₹ 7,000 /month"
N/A,Not mentioned,Not mentioned,R,"₹ 8,000 - 10,000 /month"
N/A,Not mentioned,Not mentioned,R,"₹ 6,000 - 21,000 /month"
N/A,Not mentioned,Not mentioned,R,"₹ 2,000 lump sum"
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
N/A,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
N/A,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
N/A,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
N/A,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
N/A,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
N/A,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
N/A,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
N/A,Not mentioned,Not mentioned,"Excel, R",Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
N/A,Not mentioned,Not mentioned,R,Competitive stipend
